Categoria,Código,Itens avaliados,Feedback,Pontuação,tipo_avaliacao,justificativa_classificacao
,P5,Os gateways esperados para o processo foram modelados?,alguns gateways esperados para o processo não foram modelados,0.6,interpretativo,Gateways esperados modelados — requer comparar com enunciado
Semântica 20%,SE1,Todas as tarefas estão sendo conectadas com o restante do processo por meio dos objetos de conexão?,algumas tarefas não possuem fluxo de entrada. As tarefas devem ter uma entrada.,0.75,estrutural,Toda tarefa possui fluxo de entrada — in_degree>=1 para cada tarefa
,SE2,Todas as tarefas possuem apenas um fluxo de saída?,existem tarefas que não possuem fluxo de saída ou possuem mais de um,0.75,estrutural,Toda tarefa possui exatamente um fluxo de saída — out_degree==1 para cada tarefa
,SE3,Todas as tarefas representam ações? (há ausência de tarefa que representa um resultado?),algumas tarefas estão representando um resultado ao invés de uma ação.,0.25,interpretativo,Tarefas representam ações e não resultados — julgamento semântico do nome
,SE4,Todas as tarefas estão dispostas na raia do responsável correto?,algumas tarefas não estão dispostas na raia do responsável correto,0.25,semi_estrutural,Tarefas na raia do responsável correto — containment + julgamento de adequação
Boas práticas 20%,BP1,Evento de início e fim possuem rótulo?,evento de início ou fim não possui rótulo. Os eventos devem possuir um rótulo descritivo sobre seu contexto.,0.2,estrutural,Eventos de início e fim possuem rótulo — verificar textArea não vazia nos eventos
,BP2,Os desvios (Gateway) exclusivos possuem rótulo com a decisão a ser tomada?,alguns desvios (Gateway) exclusivos não possuem rótulo com a decisão a ser tomada,0.2,semi_estrutural,Gateways exclusivos possuem rótulo de decisão — rótulo presente + tipo exclusivo
,BP3,Os gateways possuem uma convergência quando aplicável?,alguns gateways não possuem uma convergência quando aplicável,0.2,estrutural,Gateways possuem convergência quando aplicável — análise de divergência/convergência no grafo
,BP4,As tarefas possuem um substantivo e estão no infinitivo?,existem tarefas que não possuem um substantivo ou não foram nomeadas com o verbo no infinitivo,0.2,interpretativo,Tarefas com substantivo e verbo no infinitivo — julgamento linguístico
,BP5,As descrições das tarefas estão escritas com uma descrição breve e objetiva?,existem descrições de tarefas que não estão escritas de forma breve e objetiva,0.2,interpretativo,Descrições breves e objetivas — julgamento de estilo
,BP6,O nome da piscina corresponde ao nome do processo?,o nome da piscina está ausente ou não corresponde ao nome do processo,0.2,semi_estrutural,Nome da piscina corresponde ao processo — leitura do título do pool + comparação com enunciado
,BP7,Os nomes das tarefas não estão escritas em forma de siglas ou abreviaturas?,existem tarefas escritas em forma de siglas ou abreviaturas,0.2,interpretativo,Nomes sem siglas ou abreviaturas — julgamento linguístico
,BP8,"São usados nomes breves e objetivos para os eventos, os gateways e as atividades?","nomes de eventos, gateways ou atividades precisam ser breves e objetivos",0.2,interpretativo,Nomes breves e objetivos — julgamento de estilo
,BP9,"A nomenclatura dos objetos, tarefas, subprocessos, piscinas e raias está padronizada? (exemplo, tamanho, dentro ou fora do elemento, acima, abaixo ou ao lado)","a nomenclatura dos objetos, tarefas, subprocessos, piscinas e raias não está padronizada (por exemplo, tamanho, dentro ou fora do elemento, acima, abaixo ou ao lado).",0.2,interpretativo,Nomenclatura padronizada — julgamento visual/estilístico
,BP10,As tarefas redundantes foram excluídas?,algumas tarefas estão redundantes (tarefa de envio e recebimento na mesma piscina),0.2,estrutural,Tarefas redundantes excluídas — detecção de nomes duplicados entre tarefas
Legibilidade 10%,L1,Existe ausência de cruzamento de linhas ou de conexões entre elementos?,existe cruzamento de linhas ou conexões entre elementos. Isso pode dificultar a leitura do diagrama.,0.2,interpretativo,Ausência de cruzamento de linhas — requer análise de layout visual (coordenadas)
,L2,Os atores estão inseridos nas raias de acordo com a sua ordem de aparecimento no processo?,os atores precisam ser inseridos nas raias de acordo com a sua ordem de aparecimento no processo,0.2,interpretativo,Atores ordenados por aparição — julgamento de ordem visual
,L3,O fluxo do processo está sendo representado da esquerda para a direita?,o fluxo do processo não está sendo representado da esquerda para a direita,0.2,interpretativo,Fluxo da esquerda para a direita — análise de coordenadas/layout
,L4,Todos os elementos estão conectados?,existem elementos sem o conector do fluxo de sequência,0.2,estrutural,Todos os elementos conectados — nenhum elemento com in_degree=0 E out_degree=0
,L5,As tarefas e desvios (Gateway) estão dispostos sob a lógica de funcionamento do processo?,as tarefas e desvios (Gateway) não estão dispostos sob a lógica de funcionamento do processo,0.2,interpretativo,Tarefas e gateways sob a lógica do processo — julgamento semântico do fluxo
